"research_date","retailer","product","product_type","motor_configuration","seller_location","source_class","listed_price_aud","gst_and_duties_treatment","delivery_treatment","estimated_delivered_price_aud","stock_status","warranty","returns","comparable_features","url","notes","source_quality"
"2026-08-13","Ubuy Australia","PoolCandy Tube Runner Motorized Unicorn Float","Powered single-rider float","Single motor","US import via Ubuy Australia","Cross-border importer; unavailable","207.00","Source states shipping and customs charges are excluded","Calculated at checkout; import charges may apply","","Out of stock","Source claim: manufacturer warranty may not be valid in Australia","Source claim: importer-of-record and return conditions apply","Source claims: adult-sized motorized ride-on format","https://www.u-buy.com.au/product/F500C0TNM-poolcandy-tube-runner-swimming-pool-motorized-inflatable-gigantic-animal-ride-ons","Unavailable listing retained; landed cost cannot be inferred from the headline price","Moderate - live importer product page; landed price incomplete"
"2026-08-13","Ubuy Australia","ShinyRelief Motorized Pool Float for Adult","Powered single-rider float","Single motor","US import via Ubuy Australia","Cross-border importer","249.00","Source states shipping and customs charges are excluded","Calculated at checkout; import charges may apply","","In stock","Source claim: manufacturer warranty may not be valid in Australia","Source claim: importer-of-record and return conditions apply","Source claims: electric propulsion, handles and cup holder","https://www.u-buy.com.au/product/TZRFVX7MG-motorized-pool-float-for-adult-pool-inflatable-lounger-chair-electric-river-tube-floating-with-pusher-handles-cup-holder-and-pump-for-party-beach","Cross-border evidence; Australian compliance and after-sales support not independently verified","Moderate - live importer product page; landed price incomplete"
"2026-08-13","Ubuy Australia","PoolCandy Tube Runner Pro 2.0","Powered single-rider float","Single motor","US import via Ubuy Australia","Cross-border importer; brand-page price","279.00","Source states shipping and customs charges are excluded","Calculated at checkout; import charges may apply","","Availability not confirmed on brand page","","","Source claims: motorized single-rider pool float","https://www.u-buy.com.au/brand/poolcandy","Price captured from a brand results page rather than a dedicated product page","Low - current price-bearing brand page; product detail and stock thin"
"2026-08-13","Desertcart Australia","ShinyRelief Motorized Pool Float","Powered single-rider float","Single motor","International import via Desertcart Australia","International seller; landed-Australia claim","274.00","Source states duties and taxes are included","Source states delivery is included","274.00","In stock","","Source claim: 14-day return window; 30 days with PRO","Source claims: adult motorized float","https://www.desertcart.com.au/products/740184648-motorized-pool-float","Cross-border product; certification, battery logistics and service support not independently verified","Moderate - live importer page with landed-price claim"
"2026-08-13","Desertcart Australia","ShinyRelief Motorized Pool Float for Adults","Powered single-rider float","Single motor","International import via Desertcart Australia","International seller; landed-Australia claim","314.00","Source states duties and taxes are included","Source states delivery is included","314.00","In stock","","Source claim: 14-day return window; 30 days with PRO","Source claims: electric inflatable lounger format","https://www.desertcart.com.au/products/740184648-motorized-pool-float-for-adults-electric-inflatable-pool-lounger-motor","Cross-border product; certification, battery logistics and service support not independently verified","Moderate - live importer page with landed-price claim"
"2026-08-13","Ubuy Australia","PoolCandy Splash Runner Pro 2.0","Powered dual-motor float","Dual motor","US import via Ubuy Australia","Cross-border importer","409.00","Source states shipping and customs charges are excluded","Calculated at checkout; import charges may apply","","In stock","Source claim: manufacturer warranty may not be valid in Australia","Source claim: importer-of-record and return conditions apply","Source claims: two 66 W motors and adult lounger format","https://www.u-buy.com.au/product/JNB76RS8G-splash-runner-pro-2-0-12v-motorized-pool-lounger-perfect-for-the-pool-or-lake-poolcandy-x27-s-best-most-advanced-and-fastest-model-ever","Headline price is not a landed price; cross-border evidence is thin","Moderate - live importer product page; landed price incomplete"
"2026-08-13","Desertcart Australia","PoolCandy Splash Runner Pro 3.0 Motorized Pool Float","Powered dual-motor float","Dual motor","International import via Desertcart Australia","International seller; landed-Australia claim","575.00","Source states duties and taxes are included","Source states delivery is included","575.00","In stock","","Source claim: 14-day return window; 30 days with PRO","Source claims: dual-motor adult pool float","https://www.desertcart.com.au/products/821209438-poolcandy-splash-runner-pro-3-0-motorized-pool-float-for-adults","Cross-border product; Australian certification and local support not independently verified","Moderate - live importer page with landed-price claim"
"2026-08-13","Desertcart Australia","PoolCandy Splash Runner Pro 3.0 Motorized Float","Powered dual-motor float","Dual motor","International import via Desertcart Australia","International seller; landed-Australia claim","656.00","Source states duties and taxes are included","Source states delivery is included","656.00","In stock","","Source claim: 14-day return window; 30 days with PRO","Source claims: dual-motor adult pool float","https://www.desertcart.com.au/products/631074294-splash-runner-pro-3-0-motorized-pool-float-for-adults","Separate listing retained because the delivered headline price differs","Moderate - live importer page with landed-price claim"
"2026-08-13","Ubuy Australia","Zenhagu Rechargeable Motorized Pool Float with Canopy","Powered canopy float","Dual motor","US import via Ubuy Australia","Cross-border importer","359.00","Source states shipping and customs charges are excluded","Calculated at checkout; import charges may apply","","In stock","Source claim: manufacturer warranty may not be valid in Australia","Source claim: importer-of-record and return conditions apply","Source claims: rechargeable dual motors, canopy and cup holder","https://www.u-buy.com.au/product/R47UJW128-motorized-pool-float-with-canopy-rechargeable-motorized-floats-with-cup-holder-dual-motor-heavy-duty-electric-lounger-raft-for-adults-pool-lake","Headline price is not a landed price; specification and compliance claims are unverified","Moderate - live importer product page; landed price incomplete"
"2026-08-13","Desertcart Australia","GIGIGO Motorized Pool Float with Canopy","Powered canopy float","Dual motor","International import via Desertcart Australia","International seller; landed-Australia claim","714.00","Source states duties and taxes are included","Source states delivery is included","714.00","In stock","","Source claim: 14-day return window; 30 days with PRO","Source claims: rechargeable dual motors and canopy","https://www.desertcart.com.au/products/825377536-gigigo-motorized-pool-float-for-adults-rechargeable-electric-inflatable-lounger-with-canopy-lake-river-floats-adult-size-with-dual-motors-pool-toys-for-party-vacation-relaxation","Only two comparable canopy observations were identified; treat range as directional","Moderate - live importer page with landed-price claim"
"2026-08-13","Bunnings","Bestway HydroLuxe Lounge","Mesh hammock lounge","Not applicable","Australia","Australian direct retailer","15.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Add to cart","","Retailer policy; product-specific terms not captured","Source claims: mesh-bottom lounge with head support","https://www.bunnings.com.au/bestway-hydroluxe-lounge_p0423499","Entry-price Australian retail comparator","High - live Australian retailer product page"
"2026-08-13","Kmart","Bestway Comfort Plush Pool Hammock Lounge","Mesh hammock lounge","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","19.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: hammock-style mesh centre","https://www.kmart.com.au/product/bestway-comfort-plush-pool-hammock-lounge-110149261/","Sold through Kmart marketplace by The Gamesmen","Moderate - live marketplace page"
"2026-08-13","BIG W","Bestway Comfort Plush Hammock Lounge","Mesh hammock lounge","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","23.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: hammock-style mesh lounge","https://www.bigw.com.au/product/bestway-1-45m-x-87cm-comfort-plush-hammock-lounge-blue-pool-float/p/9902970916","Marketplace availability and fulfilment may change","Moderate - live marketplace page"
