Product title,Handle,Vendor,Collection,Product type,Draft RRP,GST treatment,Product status,SKU,Barcode,Supplier,Landed cost,Stock,Weight,Dimensions,Adult-only flag,Minimum age,Powered flag,Battery flag,Compliance status,Photography status,Copy status,Owner approval,Launch blocker,Notes
Docked Cruise S1,docked-cruise-s1,Requires verification,Powered Pool Floats,Powered pool float concept,499,GST inclusive,Draft,,,,,,,,TRUE,18,TRUE,TRUE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU compliance evidence landed cost stock and owner approval required,Concept only; single-motor controller and all physical specifications are unverified; powered and battery flags are conceptual and are not certifications
Docked Cruise D2,docked-cruise-d2,Requires verification,Powered Pool Floats,Powered pool lounger concept,649,GST inclusive,Draft,,,,,,,,TRUE,18,TRUE,TRUE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU compliance evidence landed cost stock and owner approval required,Concept only; dual-motor configuration and all physical specifications are unverified; powered and battery flags are conceptual and are not certifications
Docked Shade D2,docked-shade-d2,Requires verification,Powered Pool Floats,Powered canopy lounger concept,749,GST inclusive,Draft,,,,,,,,TRUE,18,TRUE,TRUE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU canopy evidence compliance landed cost stock and owner approval required,Concept only; dual motors canopy and all physical specifications are unverified; powered and battery flags are conceptual and are not certifications
Docked Drift Mesh Lounge,docked-drift-mesh-lounge,Requires verification,Adult Pool Loungers,Adult pool lounger concept,59,GST inclusive,Draft,,,,,,,,TRUE,18,FALSE,FALSE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU aquatic classification load evidence landed cost stock and owner approval required,Concept only; final design occupancy load valves materials and classification require verification
Docked Recline Pool Chair,docked-recline-pool-chair,Requires verification,Adult Pool Loungers,Adult pool chair concept,79,GST inclusive,Draft,,,,,,,,TRUE,18,FALSE,FALSE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU aquatic classification load evidence landed cost stock and owner approval required,Concept only; final design occupancy load valves materials and classification require verification
Docked Stretch Full-Length Lounge,docked-stretch-full-length-lounge,Requires verification,Adult Pool Loungers,Adult pool lounger concept,99,GST inclusive,Draft,,,,,,,,TRUE,18,FALSE,FALSE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU aquatic classification load evidence landed cost stock and owner approval required,Concept only; final design occupancy load valves materials and classification require verification
Docked Social Two-Person Island,docked-social-two-person-island,Requires verification,Adult Pool Loungers,Adult pool island concept,229,GST inclusive,Draft,,,,,,,,TRUE,18,FALSE,FALSE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU aquatic classification occupancy evidence landed cost stock and owner approval required,Concept only; two-person positioning is unverified until final occupancy and load evidence is approved
Docked Party Deck,docked-party-deck,Requires verification,Adult Pool Loungers,Adult pool island concept,329,GST inclusive,Draft,,,,,,,,TRUE,18,FALSE,FALSE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU aquatic classification occupancy evidence landed cost stock and owner approval required,Concept only; multi-person positioning is unverified until final occupancy and load evidence is approved
Docked Rally Pool Volleyball Set,docked-rally-pool-volleyball-set,Requires verification,Adult Pool Games,Adult pool game concept,59,GST inclusive,Draft,,,,,,,,TRUE,18,FALSE,FALSE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU aquatic classification net and cord safety evidence landed cost stock and owner approval required,Concept only; final pool size water depth anchoring materials and classification require verification
Docked Chill Floating Cooler,docked-chill-floating-cooler,Requires verification,Floating Bars and Coolers,Floating cooler concept,49,GST inclusive,Draft,,,,,,,,TRUE,18,FALSE,FALSE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU aquatic classification capacity evidence landed cost stock and owner approval required,Concept only; verified capacity stability materials and final classification are unknown; never supply or depict glass
Docked Drinks Dock,docked-drinks-dock,Requires verification,Floating Bars and Coolers,Floating drink holder concept,29,GST inclusive,Draft,,,,,,,,TRUE,18,FALSE,FALSE,Blocked - supplier evidence and classification approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU aquatic classification capacity evidence landed cost stock and owner approval required,Concept only; verified capacity stability materials and final classification are unknown; never supply or depict glass
Docked Inflate Rechargeable Air Pump,docked-inflate-rechargeable-air-pump,Requires verification,"Pumps, Care and Repair",Rechargeable air pump concept,39,GST inclusive,Draft,,,,,,,,FALSE,,TRUE,TRUE,Blocked - supplier electrical battery and transport evidence required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU electrical battery transport evidence landed cost stock and owner approval required,Concept only; powered and battery flags are conceptual and are not electrical safety RCM or transport certifications
Docked Double-Action Manual Pump,docked-double-action-manual-pump,Requires verification,"Pumps, Care and Repair",Manual air pump concept,29,GST inclusive,Draft,,,,,,,,FALSE,,FALSE,FALSE,Blocked - supplier evidence and product approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU instructions compatibility landed cost stock and owner approval required,Concept only; final pressure compatibility materials and instructions require verification
Docked Restore PVC Repair Kit,docked-restore-pvc-repair-kit,Requires verification,"Pumps, Care and Repair",PVC repair kit concept,19,GST inclusive,Draft,,,,,,,,FALSE,,FALSE,FALSE,Blocked - supplier material chemical and instruction evidence required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU contents safety evidence landed cost stock and owner approval required,Concept only; contents chemical properties compatibility application limits and warnings require verification
Docked Dry Storage Pouch,docked-dry-storage-pouch,Requires verification,"Pumps, Care and Repair",Storage pouch concept,29,GST inclusive,Draft,,,,,,,,FALSE,,FALSE,FALSE,Blocked - supplier performance evidence and claim approval required,Blocked - licensed product photography required,Blocked - supplier and legal review required,Pending,Final supplier model SKU water ingress test evidence landed cost stock and owner approval required,Concept only; do not claim waterproof or water resistant until exact testing rating limitations and instructions are approved
