"named_sku","category","draft_retail_price_inc_gst_aud","retail_price_ex_gst_aud","gst_component_aud","landed_product_cost_ex_gst_aud","gross_profit_aud","gross_margin","payment_fee_rate","payment_fee_fixed_aud","estimated_payment_fee_aud","freight_subsidy_ex_gst_aud","warranty_allowance_rate","warranty_allowance_aud","returns_replacement_allowance_ex_gst_aud","advertising_allowance_ex_gst_aud","packaging_cost_ex_gst_aud","estimated_contribution_aud","owner_approval","model_status"
"Docked Cruise S1","Powered single motor","499","=IF(C2="""","""",C2/1.1)","=IF(C2="""","""",C2-D2)","","=IF(OR(D2="""",F2=""""),"""",D2-F2)","=IF(OR(G2="""",D2="""",D2=0),"""",G2/D2)","","","=IF(OR(C2="""",I2="""",J2=""""),"""",C2*I2+J2)","","","=IF(OR(D2="""",M2=""""),"""",D2*M2)","","","","=IF(OR(G2="""",K2="""",L2="""",N2="""",O2="""",P2="""",Q2=""""),"""",G2-K2-L2-N2-O2-P2-Q2)","Pending","=IF(F2="""",""BLOCKED - landed cost required"",IF(OR(I2="""",J2="""",L2="""",M2="""",O2="""",P2="""",Q2=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Cruise D2","Powered dual motor","649","=IF(C3="""","""",C3/1.1)","=IF(C3="""","""",C3-D3)","","=IF(OR(D3="""",F3=""""),"""",D3-F3)","=IF(OR(G3="""",D3="""",D3=0),"""",G3/D3)","","","=IF(OR(C3="""",I3="""",J3=""""),"""",C3*I3+J3)","","","=IF(OR(D3="""",M3=""""),"""",D3*M3)","","","","=IF(OR(G3="""",K3="""",L3="""",N3="""",O3="""",P3="""",Q3=""""),"""",G3-K3-L3-N3-O3-P3-Q3)","Pending","=IF(F3="""",""BLOCKED - landed cost required"",IF(OR(I3="""",J3="""",L3="""",M3="""",O3="""",P3="""",Q3=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Shade D2","Powered dual motor with canopy","749","=IF(C4="""","""",C4/1.1)","=IF(C4="""","""",C4-D4)","","=IF(OR(D4="""",F4=""""),"""",D4-F4)","=IF(OR(G4="""",D4="""",D4=0),"""",G4/D4)","","","=IF(OR(C4="""",I4="""",J4=""""),"""",C4*I4+J4)","","","=IF(OR(D4="""",M4=""""),"""",D4*M4)","","","","=IF(OR(G4="""",K4="""",L4="""",N4="""",O4="""",P4="""",Q4=""""),"""",G4-K4-L4-N4-O4-P4-Q4)","Pending","=IF(F4="""",""BLOCKED - landed cost required"",IF(OR(I4="""",J4="""",L4="""",M4="""",O4="""",P4="""",Q4=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Drift Mesh Lounge","Mesh hammock lounge","59","=IF(C5="""","""",C5/1.1)","=IF(C5="""","""",C5-D5)","","=IF(OR(D5="""",F5=""""),"""",D5-F5)","=IF(OR(G5="""",D5="""",D5=0),"""",G5/D5)","","","=IF(OR(C5="""",I5="""",J5=""""),"""",C5*I5+J5)","","","=IF(OR(D5="""",M5=""""),"""",D5*M5)","","","","=IF(OR(G5="""",K5="""",L5="""",N5="""",O5="""",P5="""",Q5=""""),"""",G5-K5-L5-N5-O5-P5-Q5)","Pending","=IF(F5="""",""BLOCKED - landed cost required"",IF(OR(I5="""",J5="""",L5="""",M5="""",O5="""",P5="""",Q5=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Recline Pool Chair","Supportive pool chair","79","=IF(C6="""","""",C6/1.1)","=IF(C6="""","""",C6-D6)","","=IF(OR(D6="""",F6=""""),"""",D6-F6)","=IF(OR(G6="""",D6="""",D6=0),"""",G6/D6)","","","=IF(OR(C6="""",I6="""",J6=""""),"""",C6*I6+J6)","","","=IF(OR(D6="""",M6=""""),"""",D6*M6)","","","","=IF(OR(G6="""",K6="""",L6="""",N6="""",O6="""",P6="""",Q6=""""),"""",G6-K6-L6-N6-O6-P6-Q6)","Pending","=IF(F6="""",""BLOCKED - landed cost required"",IF(OR(I6="""",J6="""",L6="""",M6="""",O6="""",P6="""",Q6=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Stretch Full-Length Lounge","Full-length pool lounge","99","=IF(C7="""","""",C7/1.1)","=IF(C7="""","""",C7-D7)","","=IF(OR(D7="""",F7=""""),"""",D7-F7)","=IF(OR(G7="""",D7="""",D7=0),"""",G7/D7)","","","=IF(OR(C7="""",I7="""",J7=""""),"""",C7*I7+J7)","","","=IF(OR(D7="""",M7=""""),"""",D7*M7)","","","","=IF(OR(G7="""",K7="""",L7="""",N7="""",O7="""",P7="""",Q7=""""),"""",G7-K7-L7-N7-O7-P7-Q7)","Pending","=IF(F7="""",""BLOCKED - landed cost required"",IF(OR(I7="""",J7="""",L7="""",M7="""",O7="""",P7="""",Q7=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Social Two-Person Island","Two-person float","229","=IF(C8="""","""",C8/1.1)","=IF(C8="""","""",C8-D8)","","=IF(OR(D8="""",F8=""""),"""",D8-F8)","=IF(OR(G8="""",D8="""",D8=0),"""",G8/D8)","","","=IF(OR(C8="""",I8="""",J8=""""),"""",C8*I8+J8)","","","=IF(OR(D8="""",M8=""""),"""",D8*M8)","","","","=IF(OR(G8="""",K8="""",L8="""",N8="""",O8="""",P8="""",Q8=""""),"""",G8-K8-L8-N8-O8-P8-Q8)","Pending","=IF(F8="""",""BLOCKED - landed cost required"",IF(OR(I8="""",J8="""",L8="""",M8="""",O8="""",P8="""",Q8=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Party Deck","Consumer multi-person island","329","=IF(C9="""","""",C9/1.1)","=IF(C9="""","""",C9-D9)","","=IF(OR(D9="""",F9=""""),"""",D9-F9)","=IF(OR(G9="""",D9="""",D9=0),"""",G9/D9)","","","=IF(OR(C9="""",I9="""",J9=""""),"""",C9*I9+J9)","","","=IF(OR(D9="""",M9=""""),"""",D9*M9)","","","","=IF(OR(G9="""",K9="""",L9="""",N9="""",O9="""",P9="""",Q9=""""),"""",G9-K9-L9-N9-O9-P9-Q9)","Pending","=IF(F9="""",""BLOCKED - landed cost required"",IF(OR(I9="""",J9="""",L9="""",M9="""",O9="""",P9="""",Q9=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Rally Pool Volleyball Set","Pool volleyball set","59","=IF(C10="""","""",C10/1.1)","=IF(C10="""","""",C10-D10)","","=IF(OR(D10="""",F10=""""),"""",D10-F10)","=IF(OR(G10="""",D10="""",D10=0),"""",G10/D10)","","","=IF(OR(C10="""",I10="""",J10=""""),"""",C10*I10+J10)","","","=IF(OR(D10="""",M10=""""),"""",D10*M10)","","","","=IF(OR(G10="""",K10="""",L10="""",N10="""",O10="""",P10="""",Q10=""""),"""",G10-K10-L10-N10-O10-P10-Q10)","Pending","=IF(F10="""",""BLOCKED - landed cost required"",IF(OR(I10="""",J10="""",L10="""",M10="""",O10="""",P10="""",Q10=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
"Docked Chill Floating Cooler","Floating cooler","49","=IF(C11="""","""",C11/1.1)","=IF(C11="""","""",C11-D11)","","=IF(OR(D11="""",F11=""""),"""",D11-F11)","=IF(OR(G11="""",D11="""",D11=0),"""",G11/D11)","","","=IF(OR(C11="""",I11="""",J11=""""),"""",C11*I11+J11)","","","=IF(OR(D11="""",M11=""""),"""",D11*M11)","","","","=IF(OR(G11="""",K11="""",L11="""",N11="""",O11="""",P11="""",Q11=""""),"""",G11-K11-L11-N11-O11-P11-Q11)","Pending","=IF(F11="""",""BLOCKED - landed cost required"",IF(OR(I11="""",J11="""",L11="""",M11="""",O11="""",P11="""",Q11=""""),""INCOMPLETE - cost inputs required"",""CALCULATED - owner approval still required""))"
