Title,URL handle,Vendor,Product type,Option1 name,Option1 value,Published on online store,Status
Docked Cruise S1,docked-cruise-s1,Requires verification,Powered pool float concept,Title,Default Title,false,draft
Docked Cruise D2,docked-cruise-d2,Requires verification,Powered pool lounger concept,Title,Default Title,false,draft
Docked Shade D2,docked-shade-d2,Requires verification,Powered canopy lounger concept,Title,Default Title,false,draft
Docked Drift Mesh Lounge,docked-drift-mesh-lounge,Requires verification,Adult pool lounger concept,Title,Default Title,false,draft
Docked Recline Pool Chair,docked-recline-pool-chair,Requires verification,Adult pool chair concept,Title,Default Title,false,draft
Docked Stretch Full-Length Lounge,docked-stretch-full-length-lounge,Requires verification,Adult pool lounger concept,Title,Default Title,false,draft
Docked Social Two-Person Island,docked-social-two-person-island,Requires verification,Adult pool island concept,Title,Default Title,false,draft
Docked Party Deck,docked-party-deck,Requires verification,Adult pool island concept,Title,Default Title,false,draft
Docked Rally Pool Volleyball Set,docked-rally-pool-volleyball-set,Requires verification,Adult pool game concept,Title,Default Title,false,draft
Docked Chill Floating Cooler,docked-chill-floating-cooler,Requires verification,Floating cooler concept,Title,Default Title,false,draft
Docked Drinks Dock,docked-drinks-dock,Requires verification,Floating drink holder concept,Title,Default Title,false,draft
Docked Inflate Rechargeable Air Pump,docked-inflate-rechargeable-air-pump,Requires verification,Rechargeable air pump concept,Title,Default Title,false,draft
Docked Double-Action Manual Pump,docked-double-action-manual-pump,Requires verification,Manual air pump concept,Title,Default Title,false,draft
Docked Restore PVC Repair Kit,docked-restore-pvc-repair-kit,Requires verification,PVC repair kit concept,Title,Default Title,false,draft
Docked Dry Storage Pouch,docked-dry-storage-pouch,Requires verification,Storage pouch concept,Title,Default Title,false,draft
